Entry	Entry Name	Gene Names	Protein names	GeneID	Organism
Q6P2C0	WDR93_HUMAN	WDR93	WD repeat-containing protein 93	56964;	Homo sapiens (Human)
A4D1P6	WDR91_HUMAN	WDR91 HSPC049	WD repeat-containing protein 91	29062;	Homo sapiens (Human)
Q96KV7	WDR90_HUMAN	WDR90 C16orf15 C16orf16 C16orf17 C16orf18 C16orf19 KIAA1924	WD repeat-containing protein 90	197335;	Homo sapiens (Human)
Q96FK6	WDR89_HUMAN	WDR89 C14orf150 MSTP050	WD repeat-containing protein 89	112840;	Homo sapiens (Human)
Q6ZMY6	WDR88_HUMAN	WDR88 PQWD	WD repeat-containing protein 88 (PQQ repeat and WD repeat-containing protein)	126248;	Homo sapiens (Human)
Q6ZQQ6	WDR87_HUMAN	WDR87	WD repeat-containing protein 87 (Testis development protein NYD-SP11)	83889;	Homo sapiens (Human)
Q86TI4	WDR86_HUMAN	WDR86	WD repeat-containing protein 86	349136;	Homo sapiens (Human)
Q9BRX9	WDR83_HUMAN	WDR83 MORG1	WD repeat domain-containing protein 83 (Mitogen-activated protein kinase organizer 1) (MAPK organizer 1)	84292;	Homo sapiens (Human)
Q6UXN9	WDR82_HUMAN	WDR82 SWD2 TMEM113 WDR82A UNQ9342/PRO34047	WD repeat-containing protein 82	80335;	Homo sapiens (Human)
Q562E7	WDR81_HUMAN	WDR81	WD repeat-containing protein 81	124997;	Homo sapiens (Human)
Q9Y4E6	WDR7_HUMAN	WDR7 KIAA0541 TRAG	WD repeat-containing protein 7 (Rabconnectin-3 beta) (TGF-beta resistance-associated protein TRAG)	23335;	Homo sapiens (Human)
Q9H967	WDR76_HUMAN	WDR76	WD repeat-containing protein 76	79968;	Homo sapiens (Human)
Q8IWA0	WDR75_HUMAN	WDR75 UTP17	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	84128;	Homo sapiens (Human)
Q6RFH5	WDR74_HUMAN	WDR74 NSA1	WD repeat-containing protein 74 (NOP seven-associated protein 1)	54663;	Homo sapiens (Human)
Q6P4I2	WDR73_HUMAN	WDR73 HSPC264	WD repeat-containing protein 73	84942;	Homo sapiens (Human)
Q3MJ13	WDR72_HUMAN	WDR72	WD repeat-containing protein 72	256764;	Homo sapiens (Human)
Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	55100;	Homo sapiens (Human)
Q9NNW5	WDR6_HUMAN	WDR6	WD repeat-containing protein 6	11180;	Homo sapiens (Human)
B1ANS9	WDR64_HUMAN	WDR64	WD repeat-containing protein 64		Homo sapiens (Human)
O43379	WDR62_HUMAN	WDR62 C19orf14	WD repeat-containing protein 62	284403;	Homo sapiens (Human)
Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog) (SKI8 homolog) (Ski8) [Cleaved into: WD repeat-containing protein 61, N-terminally processed]	80349;	Homo sapiens (Human)
P61964	WDR5_HUMAN	WDR5 BIG3	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	11091;	Homo sapiens (Human)
Q86VZ2	WDR5B_HUMAN	WDR5B	WD repeat-containing protein 5B	54554;	Homo sapiens (Human)
Q6PJI9	WDR59_HUMAN	WDR59 KIAA1923 FP977	GATOR complex protein WDR59 (WD repeat-containing protein 59)	79726;	Homo sapiens (Human)
Q9H6Y2	WDR55_HUMAN	WDR55	WD repeat-containing protein 55	54853;	Homo sapiens (Human)
Q9H977	WDR54_HUMAN	WDR54	WD repeat-containing protein 54	84058;	Homo sapiens (Human)
Q7Z5U6	WDR53_HUMAN	WDR53	WD repeat-containing protein 53	348793;	Homo sapiens (Human)
P57081	WDR4_HUMAN	WDR4	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Protein Wuho homolog) (hWH) (WD repeat-containing protein 4)	10785;	Homo sapiens (Human)
Q8IV35	WDR49_HUMAN	WDR49	WD repeat-containing protein 49		Homo sapiens (Human)
Q8TAF3	WDR48_HUMAN	WDR48 KIAA1449 UAF1	WD repeat-containing protein 48 (USP1-associated factor 1) (WD repeat endosomal protein) (p80)	57599;	Homo sapiens (Human)
O94967	WDR47_HUMAN	WDR47 KIAA0893	WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)	22911;	Homo sapiens (Human)
O15213	WDR46_HUMAN	WDR46 BING4 C6orf11 FP221	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	9277;	Homo sapiens (Human)
Q5JSH3	WDR44_HUMAN	WDR44 RPH11	WD repeat-containing protein 44 (Rabphilin-11)	54521;	Homo sapiens (Human)
Q15061	WDR43_HUMAN	WDR43 KIAA0007 UTP5	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	23160;	Homo sapiens (Human)
Q9HAD4	WDR41_HUMAN	WDR41 MSTP048	WD repeat-containing protein 41	55255;	Homo sapiens (Human)
Q9UNX4	WDR3_HUMAN	WDR3	WD repeat-containing protein 3	10885;	Homo sapiens (Human)
Q5JTN6	WDR38_HUMAN	WDR38	WD repeat-containing protein 38	401551;	Homo sapiens (Human)
Q9Y2I8	WDR37_HUMAN	WDR37 KIAA0982	WD repeat-containing protein 37	22884;	Homo sapiens (Human)
Q8NI36	WDR36_HUMAN	WDR36	WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP)	134430;	Homo sapiens (Human)
Q9P2L0	WDR35_HUMAN	WDR35 IFT121 KIAA1336	WD repeat-containing protein 35 (Intraflagellar transport protein 121 homolog)	57539;	Homo sapiens (Human)
Q9C0J8	WDR33_HUMAN	WDR33 WDC146	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	55339;	Homo sapiens (Human)
Q8NA23	WDR31_HUMAN	WDR31	WD repeat-containing protein 31	114987;	Homo sapiens (Human)
A2RRH5	WDR27_HUMAN	WDR27	WD repeat-containing protein 27	253769;	Homo sapiens (Human)
Q9H7D7	WDR26_HUMAN	WDR26 CDW2 MIP2 PRO0852	WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2)	80232;	Homo sapiens (Human)
Q64LD2	WDR25_HUMAN	WDR25 C14orf67	WD repeat-containing protein 25	79446;	Homo sapiens (Human)
Q96S15	WDR24_HUMAN	WDR24 C16orf21 JFP7	GATOR complex protein WDR24 (WD repeat-containing protein 24)	84219;	Homo sapiens (Human)
Q8TBZ3	WDR20_HUMAN	WDR20	WD repeat-containing protein 20 (Protein DMR)	91833;	Homo sapiens (Human)
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	9948;	Homo sapiens (Human)
Q8NEZ3	WDR19_HUMAN	WDR19 IFT144 KIAA1638	WD repeat-containing protein 19 (Intraflagellar transport 144 homolog)	57728;	Homo sapiens (Human)
Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	57418;	Homo sapiens (Human)
Q8IZU2	WDR17_HUMAN	WDR17	WD repeat-containing protein 17	116966;	Homo sapiens (Human)
Q9H1Z4	WDR13_HUMAN	WDR13	WD repeat-containing protein 13	64743;	Homo sapiens (Human)
Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)	55759;	Homo sapiens (Human)
Q9BZH6	WDR11_HUMAN	WDR11 BRWD2 KIAA1351 WDR15	WD repeat-containing protein 11 (Bromodomain and WD repeat-containing protein 2) (WD repeat-containing protein 15)	55717;	Homo sapiens (Human)
O75717	WDHD1_HUMAN	WDHD1 AND1	WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1)	11169;	Homo sapiens (Human)
Q6ZS81	WDFY4_HUMAN	WDFY4 C10orf64 KIAA1607	WD repeat- and FYVE domain-containing protein 4	57705;	Homo sapiens (Human)
Q8IZQ1	WDFY3_HUMAN	WDFY3 KIAA0993	WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy)	23001;	Homo sapiens (Human)
Q96P53	WDFY2_HUMAN	WDFY2 WDF2 ZFYVE22	WD repeat and FYVE domain-containing protein 2 (Propeller-FYVE protein) (Prof) (WD40- and FYVE domain-containing protein 2) (Zinc finger FYVE domain-containing protein 22)	115825;	Homo sapiens (Human)
Q8IWB7	WDFY1_HUMAN	WDFY1 FENS1 KIAA1435 WDF1 ZFYVE17	WD repeat and FYVE domain-containing protein 1 (FYVE domain-containing protein localized to endosomes 1) (FENS-1) (Phosphoinositide-binding protein 1) (WD40- and FYVE domain-containing protein 1) (Zinc finger FYVE domain-containing protein 17)	57590;	Homo sapiens (Human)
Q9H6R7	WDCP_HUMAN	WDCP C2orf44 PP384	WD repeat and coiled-coil-containing protein	80304;	Homo sapiens (Human)
O75554	WBP4_HUMAN	WBP4 FBP21 FNBP21	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	11193;	Homo sapiens (Human)
Q969T9	WBP2_HUMAN	WBP2	WW domain-binding protein 2 (WBP-2)	23558;	Homo sapiens (Human)
Q6ICG8	WBP2L_HUMAN	WBP2NL PAWP	Postacrosomal sheath WW domain-binding protein (WW domain-binding protein 2-like)	164684;	Homo sapiens (Human)
Q96G27	WBP1_HUMAN	WBP1	WW domain-binding protein 1 (WBP-1)	23559;	Homo sapiens (Human)
Q9NX94	WBP1L_HUMAN	WBP1L C10orf26 OPA1L	WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)	54838;	Homo sapiens (Human)
Q9Y2W2	WBP11_HUMAN	WBP11 NPWBP SIPP1 SNP70	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	51729;	Homo sapiens (Human)
P42768	WASP_HUMAN	WAS IMD2	Actin nucleation-promoting factor WAS (Wiskott-Aldrich syndrome protein) (WASp)	7454;	Homo sapiens (Human)
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	8976;	Homo sapiens (Human)
Q9NQA3	WASH6_HUMAN	WASH6P CXYorf1 FAM39A	WAS protein family homolog 6 (Protein FAM39A)		Homo sapiens (Human)
A8MWX3	WASH4_HUMAN	WASH4P FAM39CP	Putative WAS protein family homolog 4 (Protein FAM39CP)		Homo sapiens (Human)
C4AMC7	WASH3_HUMAN	WASH3P FAM39DP	Putative WAS protein family homolog 3 (Protein FAM39DP)		Homo sapiens (Human)
Q6VEQ5	WASH2_HUMAN	WASH2P FAM39B	WAS protein family homolog 2 (CXYorf1-like protein on chromosome 2) (Protein FAM39B)		Homo sapiens (Human)
A8K0Z3	WASH1_HUMAN	WASHC1 FAM39E WASH1	WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	100287171;	Homo sapiens (Human)
Q9UPY6	WASF3_HUMAN	WASF3 KIAA0900 SCAR3 WAVE3	Actin-binding protein WASF3 (Protein WAVE-3) (Verprolin homology domain-containing protein 3) (Wiskott-Aldrich syndrome protein family member 3) (WASP family protein member 3)	10810;	Homo sapiens (Human)
Q9Y6W5	WASF2_HUMAN	WASF2 WAVE2	Actin-binding protein WASF2 (Protein WAVE-2) (Verprolin homology domain-containing protein 2) (Wiskott-Aldrich syndrome protein family member 2) (WASP family protein member 2)	10163;	Homo sapiens (Human)
Q92558	WASF1_HUMAN	WASF1 KIAA0269 SCAR1 WAVE1	Actin-binding protein WASF1 (Protein WAVE-1) (Verprolin homology domain-containing protein 1) (Wiskott-Aldrich syndrome protein family member 1) (WASP family protein member 1)	8936;	Homo sapiens (Human)
Q12768	WASC5_HUMAN	WASHC5 KIAA0196	WASH complex subunit 5 (Strumpellin) (WASH complex subunit strumpellin)	9897;	Homo sapiens (Human)
Q2M389	WASC4_HUMAN	WASHC4 KIAA1033	WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP)	23325;	Homo sapiens (Human)
Q9Y3C0	WASC3_HUMAN	WASHC3 AD-016 CCDC53 CGI-116 x0009	WASH complex subunit 3 (Coiled-coil domain-containing protein 53)	51019;	Homo sapiens (Human)
Q7Z5K2	WAPL_HUMAN	WAPL FOE KIAA0261 WAPAL	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	23063;	Homo sapiens (Human)
Q9BTA9	WAC_HUMAN	WAC KIAA1844	WW domain-containing adapter protein with coiled-coil	51322;	Homo sapiens (Human)
Q9Y4E1	WAC2C_HUMAN	WASHC2C FAM21C KIAA0592 VPEF	WASH complex subunit 2C (Vaccinia virus penetration factor) (VPEF)	253725;	Homo sapiens (Human)
Q641Q2	WAC2A_HUMAN	WASHC2A FAM21A FAM21B	WASH complex subunit 2A	387680;	Homo sapiens (Human)
P04275	VWF_HUMAN	VWF F8VWF	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	7450;	Homo sapiens (Human)
Q8N2E2	VWDE_HUMAN	VWDE	von Willebrand factor D and EGF domain-containing protein	221806;	Homo sapiens (Human)
Q96DN2	VWCE_HUMAN	VWCE URG11	von Willebrand factor C and EGF domain-containing protein (HBV X protein up-regulated gene 11 protein) (HBxAg up-regulated gene 11 protein)	220001;	Homo sapiens (Human)
Q2TAL6	VWC2_HUMAN	VWC2 UNQ739/PRO1434	Brorin (Brain-specific chordin-like protein) (von Willebrand factor C domain-containing protein 2)	375567;	Homo sapiens (Human)
B2RUY7	VWC2L_HUMAN	VWC2L	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)	402117;	Homo sapiens (Human)
A3KMH1	VWA8_HUMAN	VWA8 KIAA0564	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	23078;	Homo sapiens (Human)
Q9Y334	VWA7_HUMAN	VWA7 C6orf27 G7C NG37	von Willebrand factor A domain-containing protein 7 (Protein G7c)	80737;	Homo sapiens (Human)
Q502W6	VWA3B_HUMAN	VWA3B	von Willebrand factor A domain-containing protein 3B (VWA domain-containing protein 3B)	200403;	Homo sapiens (Human)
A6NCI4	VWA3A_HUMAN	VWA3A	von Willebrand factor A domain-containing protein 3A	146177;	Homo sapiens (Human)
Q5GFL6	VWA2_HUMAN	VWA2 AMACO	von Willebrand factor A domain-containing protein 2 (A domain-containing protein similar to matrilin and collagen) (AMACO) (Colon cancer secreted protein 2) (CCSP-2)	340706;	Homo sapiens (Human)
Q6PCB0	VWA1_HUMAN	VWA1	von Willebrand factor A domain-containing protein 1	64856;	Homo sapiens (Human)
Q8N398	VW5B2_HUMAN	VWA5B2	von Willebrand factor A domain-containing protein 5B2	90113;	Homo sapiens (Human)
Q5TIE3	VW5B1_HUMAN	VWA5B1	von Willebrand factor A domain-containing protein 5B1	127731;	Homo sapiens (Human)
P04004	VTNC_HUMAN	VTN	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	7448;	Homo sapiens (Human)
Q96N03	VTM2L_HUMAN	VSTM2L C20orf102	V-set and transmembrane domain-containing protein 2-like protein	128434;	Homo sapiens (Human)
A6NLU5	VTM2B_HUMAN	VSTM2B	V-set and transmembrane domain-containing protein 2B	342865;	Homo sapiens (Human)
Q8TAG5	VTM2A_HUMAN	VSTM2A VSTM2	V-set and transmembrane domain-containing protein 2A	222008;	Homo sapiens (Human)
Q9UEU0	VTI1B_HUMAN	VTI1B VTI1 VTI1L VTI1L1 VTI2	Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1)	10490;	Homo sapiens (Human)
Q96AJ9	VTI1A_HUMAN	VTI1A	Vesicle transport through interaction with t-SNAREs homolog 1A (Vesicle transport v-SNARE protein Vti1-like 2) (Vti1-rp2)	143187;	Homo sapiens (Human)
P02774	VTDB_HUMAN	GC	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	2638;	Homo sapiens (Human)
Q7Z7D3	VTCN1_HUMAN	VTCN1 B7H4 UNQ659/PRO1291	V-set domain-containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (B7h.5) (Immune costimulatory protein B7-H4) (Protein B7S1) (T-cell costimulatory molecule B7x)	79679;	Homo sapiens (Human)
Q9NP79	VTA1_HUMAN	VTA1 C6orf55 HSPC228 My012	Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1)	51534;	Homo sapiens (Human)
P0DP72	VSXL2_HUMAN	VSIG10L2	V-set and immunoglobulin domain-containing protein 10-like 2		Homo sapiens (Human)
P58304	VSX2_HUMAN	VSX2 CHX10 HOX10	Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein CHX10)	338917;	Homo sapiens (Human)
Q9NZR4	VSX1_HUMAN	VSX1 RINX	Visual system homeobox 1 (Homeodomain protein RINX) (Retinal inner nuclear layer homeobox protein) (Transcription factor VSX1)	30813;	Homo sapiens (Human)
A8MXK1	VSTM5_HUMAN	VSTM5 C11orf90	V-set and transmembrane domain-containing protein 5	387804;	Homo sapiens (Human)
Q8IW00	VSTM4_HUMAN	VSTM4 C10orf72	V-set and transmembrane domain-containing protein 4 [Cleaved into: Peptide Lv]	196740;	Homo sapiens (Human)
Q6UX27	VSTM1_HUMAN	VSTM1 UNQ3033/PRO9835	V-set and transmembrane domain-containing protein 1 (Signal inhibitory receptor on leukocytes-1) (SIRL-1)	284415;	Homo sapiens (Human)
P0DPA2	VSIG8_HUMAN	VSIG8 C1orf204	V-set and immunoglobulin domain-containing protein 8	391123;	Homo sapiens (Human)
Q9Y279	VSIG4_HUMAN	VSIG4 CRIg Z39IG UNQ317/PRO362	V-set and immunoglobulin domain-containing protein 4 (Protein Z39Ig)	11326;	Homo sapiens (Human)
Q96IQ7	VSIG2_HUMAN	VSIG2 CTH CTXL UNQ2770/PRO7154	V-set and immunoglobulin domain-containing protein 2 (Cortical thymocyte-like protein) (CT-like protein)	23584;	Homo sapiens (Human)
Q86XK7	VSIG1_HUMAN	VSIG1 GPA34	V-set and immunoglobulin domain-containing protein 1 (Cell surface A33 antigen) (Glycoprotein A34)	340547;	Homo sapiens (Human)
Q8N0Z9	VSI10_HUMAN	VSIG10	V-set and immunoglobulin domain-containing protein 10	54621;	Homo sapiens (Human)
Q86VR7	VS10L_HUMAN	VSIG10L	V-set and immunoglobulin domain-containing protein 10-like (VSIG10-like protein)	147645;	Homo sapiens (Human)
Q9H8Y1	VRTN_HUMAN	VRTN C14orf115	Vertnin	55237;	Homo sapiens (Human)
Q8IV63	VRK3_HUMAN	VRK3	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	51231;	Homo sapiens (Human)
Q86Y07	VRK2_HUMAN	VRK2	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	7444;	Homo sapiens (Human)
Q99986	VRK1_HUMAN	VRK1	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	7443;	Homo sapiens (Human)
Q8N3P4	VPS8_HUMAN	VPS8 KIAA0804	Vacuolar protein sorting-associated protein 8 homolog	23355;	Homo sapiens (Human)
Q15906	VPS72_HUMAN	VPS72 TCFL1 YL1	Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1)	6944;	Homo sapiens (Human)
Q9P1Q0	VPS54_HUMAN	VPS54 HCC8	Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p)	51542;	Homo sapiens (Human)
Q5VIR6	VPS53_HUMAN	VPS53 PP13624	Vacuolar protein sorting-associated protein 53 homolog	55275;	Homo sapiens (Human)
Q8N1B4	VPS52_HUMAN	VPS52 SACM2L	Vacuolar protein sorting-associated protein 52 homolog (SAC2 suppressor of actin mutations 2-like protein)	6293;	Homo sapiens (Human)
Q9UID3	VPS51_HUMAN	VPS51 ANG2 C11orf2 C11orf3 FFR PP5382	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	738;	Homo sapiens (Human)
Q96JG6	VPS50_HUMAN	VPS50 CCDC132 KIAA1861	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)	55610;	Homo sapiens (Human)
O75351	VPS4B_HUMAN	VPS4B SKD1 VPS42 MIG1	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	9525;	Homo sapiens (Human)
Q9UN37	VPS4A_HUMAN	VPS4A VPS4	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	27183;	Homo sapiens (Human)
Q9NRW7	VPS45_HUMAN	VPS45 VPS45A VPS45B	Vacuolar protein sorting-associated protein 45 (h-VPS45) (hlVps45)	11311;	Homo sapiens (Human)
P49754	VPS41_HUMAN	VPS41	Vacuolar protein sorting-associated protein 41 homolog (S53)	27072;	Homo sapiens (Human)
Q96JC1	VPS39_HUMAN	VPS39 KIAA0770 TLP VAM6	Vam6/Vps39-like protein (TRAP1-like protein) (hVam6p)	23339;	Homo sapiens (Human)
Q86VN1	VPS36_HUMAN	VPS36 C13orf9 EAP45 CGI-145	Vacuolar protein-sorting-associated protein 36 (ELL-associated protein of 45 kDa) (ESCRT-II complex subunit VPS36)	51028;	Homo sapiens (Human)
Q96QK1	VPS35_HUMAN	VPS35 MEM3 TCCCTA00141	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	55737;	Homo sapiens (Human)
Q9UBQ0	VPS29_HUMAN	VPS29 DC15 DC7 MDS007	Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29)	51699;	Homo sapiens (Human)
Q9UK41	VPS28_HUMAN	VPS28	Vacuolar protein sorting-associated protein 28 homolog (H-Vps28) (ESCRT-I complex subunit VPS28)	51160;	Homo sapiens (Human)
Q9BRG1	VPS25_HUMAN	VPS25 DERP9 EAP20	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	84313;	Homo sapiens (Human)
Q9P253	VPS18_HUMAN	VPS18 KIAA1475	Vacuolar protein sorting-associated protein 18 homolog (hVPS18)	57617;	Homo sapiens (Human)
Q9H269	VPS16_HUMAN	VPS16	Vacuolar protein sorting-associated protein 16 homolog (hVPS16)	64601;	Homo sapiens (Human)
Q9H270	VPS11_HUMAN	VPS11 RNF108 PP3476	Vacuolar protein sorting-associated protein 11 homolog (hVPS11) (RING finger protein 108)	55823;	Homo sapiens (Human)
P12018	VPREB_HUMAN	VPREB1 VPREB	Immunoglobulin iota chain (CD179 antigen-like family member A) (Protein VPreB1) (V(pre)B protein) (VpreB protein) (CD antigen CD179a)	7441;	Homo sapiens (Human)
Q9UKI3	VPRE3_HUMAN	VPREB3 UNQ355/PRO619	Pre-B lymphocyte protein 3 (N27C7-2) (Protein VPreB3)	29802;	Homo sapiens (Human)
Q9HBG4	VPP4_HUMAN	ATP6V0A4 ATP6N1B ATP6N2	V-type proton ATPase 116 kDa subunit a 4 (V-ATPase 116 kDa isoform a 4) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 4) (Vacuolar proton translocating ATPase 116 kDa subunit a kidney isoform)	50617;	Homo sapiens (Human)
Q13488	VPP3_HUMAN	TCIRG1 ATP6N1C ATP6V0A3	V-type proton ATPase 116 kDa subunit a 3 (V-ATPase 116 kDa subunit a 3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	10312;	Homo sapiens (Human)
Q9Y487	VPP2_HUMAN	ATP6V0A2	V-type proton ATPase 116 kDa subunit a 2 (V-ATPase 116 kDa subunit a 2) (Lysosomal H(+)-transporting ATPase V0 subunit a 2) (TJ6) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2)	23545;	Homo sapiens (Human)
Q93050	VPP1_HUMAN	ATP6V0A1 ATP6N1 ATP6N1A VPP1	V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	535;	Homo sapiens (Human)
P63127	VPK9_HUMAN	ERVK-9	Endogenous retrovirus group K member 9 Pro protein (HERV-K(C6) Pro protein) (HERV-K109 Pro protein) (HERV-K_6q14.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63122	VPK8_HUMAN	ERVK-8	Endogenous retrovirus group K member 8 Pro protein (HERV-K115 Pro protein) (HERV-K_8p23.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63131	VPK7_HUMAN	ERVK-7	Endogenous retrovirus group K member 7 Pro protein (HERV-K(III) Pro protein) (HERV-K102 Pro protein) (HERV-K_1q22 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
Q9Y6I0	VPK6_HUMAN	ERVK-6 ERVK6	Endogenous retrovirus group K member 6 Pro protein (HERV-K(C7) Pro protein) (HERV-K(HML-2.HOM) Pro protein) (HERV-K108 Pro protein) (HERV-K_7p22.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63125	VPK25_HUMAN	ERVK-25	Endogenous retrovirus group K member 25 Pro protein (HERV-K_11q22.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63129	VPK24_HUMAN	ERVK-24	Endogenous retrovirus group K member 24 Pro protein (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63119	VPK21_HUMAN	ERVK-21	Endogenous retrovirus group K member 21 Pro protein (HERV-K_12q14.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63120	VPK19_HUMAN	ERVK-19	Endogenous retrovirus group K member 19 Pro protein (HERV-K(C19) Pro protein) (HERV-K_19q12 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P63123	VPK18_HUMAN	ERVK-18	Endogenous retrovirus group K member 18 Pro protein (HERV-K(C1a) Pro protein) (HERV-K110 Pro protein) (HERV-K18 Pro protein) (HERV-K_1q23.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
P10265	VPK10_HUMAN	ERVK-10	Endogenous retrovirus group K member 10 Pro protein (HERV-K10 Pro protein) (HERV-K107 Pro protein) (HERV-K_5q33.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)		Homo sapiens (Human)
